;train/episode;Steps;Wall_Time
0;128.0;2560;1649555466.6775813
1;128.0;5120;1649555467.6123857
2;128.0;7680;1649555468.524522
3;128.0;10240;1649555469.4386356
4;128.0;12800;1649555470.3513453
5;128.0;15360;1649555471.2749023
6;128.0;17920;1649555472.2064166
7;128.0;20480;1649555473.1187685
8;128.0;23040;1649555474.032117
9;128.0;25600;1649555474.9453654
10;128.0;28160;1649555475.8579223
11;128.0;30720;1649555476.7689195
12;128.0;33280;1649555477.6830516
13;128.0;35840;1649555478.5969348
14;128.0;38400;1649555479.5085416
15;128.0;40960;1649555480.419867
16;128.0;43520;1649555481.3299165
17;128.0;46080;1649555482.2717638
18;128.0;48640;1649555483.1874602
19;128.0;51200;1649555484.0991337
20;128.0;53760;1649555485.0098245
21;128.0;56320;1649555485.9191709
22;128.0;58880;1649555486.8331776
23;128.0;61440;1649555487.7437508
24;128.0;64000;1649555488.6560721
25;128.0;66560;1649555489.56954
26;128.0;69120;1649555490.4827716
27;128.0;71680;1649555491.4033403
28;128.0;74240;1649555492.320898
29;128.0;76800;1649555493.2521017
30;128.0;79360;1649555494.1651523
31;128.0;81920;1649555495.0766408
32;128.0;84480;1649555495.9876878
33;128.0;87040;1649555496.8950205
34;128.0;89600;1649555497.8081894
35;128.0;92160;1649555498.7210479
36;128.0;94720;1649555499.6311657
37;128.0;97280;1649555500.5438151
38;128.0;99840;1649555501.4520242
39;128.0;102400;1649555502.3624403
40;128.0;104960;1649555503.3126905
41;128.0;107520;1649555504.2267106
42;128.0;110080;1649555505.1390288
43;128.0;112640;1649555506.053415
44;128.0;115200;1649555506.9653163
45;128.0;117760;1649555507.876114
46;128.0;120320;1649555508.7938805
47;128.0;122880;1649555509.7082088
48;128.0;125440;1649555510.6259756
49;128.0;128000;1649555511.5428498
50;128.0;130560;1649555512.4558182
51;128.0;133120;1649555513.3839834
52;128.0;135680;1649555514.3199444
53;128.0;138240;1649555515.2297223
54;128.0;140800;1649555516.147636
55;128.0;143360;1649555517.0714374
56;128.0;145920;1649555517.9885614
57;128.0;148480;1649555518.9033203
58;128.0;151040;1649555519.8153288
59;128.0;153600;1649555520.7288432
60;128.0;156160;1649555521.644456
61;128.0;158720;1649555522.560155
62;128.0;161280;1649555523.4806466
63;128.0;163840;1649555524.429785
64;128.0;166400;1649555525.3454015
65;128.0;168960;1649555526.2609942
66;128.0;171520;1649555527.180345
67;128.0;174080;1649555528.0980673
68;128.0;176640;1649555529.0133276
69;128.0;179200;1649555529.9333096
70;128.0;181760;1649555530.8469203
71;128.0;184320;1649555531.767782
72;128.0;186880;1649555532.6818187
73;128.0;189440;1649555533.6035984
74;128.0;192000;1649555534.5353167
75;128.0;194560;1649555535.461657
76;128.0;197120;1649555536.377205
77;128.0;199680;1649555537.297085
78;128.0;202240;1649555538.2138212
79;128.0;204800;1649555539.12426
80;128.0;207360;1649555540.0413911
81;128.0;209920;1649555540.9589396
82;128.0;212480;1649555541.8728824
83;128.0;215040;1649555542.7884278
84;128.0;217600;1649555543.7058883
85;128.0;220160;1649555544.6198635
86;128.0;222720;1649555545.5656369
87;128.0;225280;1649555546.4821076
88;128.0;227840;1649555547.3991385
89;128.0;230400;1649555548.3167796
90;128.0;232960;1649555549.2287307
91;128.0;235520;1649555550.1486344
92;128.0;238080;1649555551.0654287
93;128.0;240640;1649555551.981905
94;128.0;243200;1649555552.8918297
95;128.0;245760;1649555553.808183
96;128.0;248320;1649555554.7254567
97;128.0;250880;1649555555.6620533
98;128.0;253440;1649555556.5821574
99;128.0;256000;1649555557.4979393
100;128.0;258560;1649555566.0208232
101;128.0;261120;1649555566.9681382
102;128.0;263680;1649555567.8897927
103;128.0;266240;1649555568.7995098
104;128.0;268800;1649555569.715392
105;128.0;271360;1649555570.630766
106;128.0;273920;1649555571.54648
107;128.0;276480;1649555572.4612534
108;128.0;279040;1649555573.3763561
109;128.0;281600;1649555574.2958457
110;128.0;284160;1649555575.208802
111;128.0;286720;1649555576.121372
112;128.0;289280;1649555577.0650709
113;128.0;291840;1649555577.9853234
114;128.0;294400;1649555578.9019089
115;128.0;296960;1649555579.8220408
116;128.0;299520;1649555580.735189
117;128.0;302080;1649555581.6526992
118;128.0;304640;1649555582.5698152
119;128.0;307200;1649555583.4868655
120;128.0;309760;1649555584.400854
121;128.0;312320;1649555585.3147943
122;128.0;314880;1649555586.233805
123;128.0;317440;1649555587.175187
124;128.0;320000;1649555588.096731
125;128.0;322560;1649555589.010779
126;128.0;325120;1649555589.926459
127;128.0;327680;1649555590.8422983
128;128.0;330240;1649555591.7571776
129;128.0;332800;1649555592.6739104
130;128.0;335360;1649555593.5924644
131;128.0;337920;1649555594.5077631
132;128.0;340480;1649555595.4239185
133;128.0;343040;1649555596.3387077
134;128.0;345600;1649555597.2534966
135;128.0;348160;1649555598.1901166
136;128.0;350720;1649555599.1108384
137;128.0;353280;1649555600.0288951
138;128.0;355840;1649555600.9476795
139;128.0;358400;1649555601.8590472
140;128.0;360960;1649555602.7725544
141;128.0;363520;1649555603.6844516
142;128.0;366080;1649555604.6009383
143;128.0;368640;1649555605.5212567
144;128.0;371200;1649555606.4391806
145;128.0;373760;1649555607.351655
146;128.0;376320;1649555608.299893
147;128.0;378880;1649555609.2183747
148;128.0;381440;1649555610.1317856
149;128.0;384000;1649555611.05147
150;128.0;386560;1649555611.969839
151;128.0;389120;1649555612.8890758
152;128.0;391680;1649555613.8052597
153;128.0;394240;1649555614.7175841
154;128.0;396800;1649555615.6345167
155;128.0;399360;1649555616.5509336
156;128.0;401920;1649555617.4632733
157;128.0;404480;1649555618.3865998
158;128.0;407040;1649555619.322162
159;128.0;409600;1649555620.2440138
160;128.0;412160;1649555621.1611083
161;128.0;414720;1649555622.075582
162;128.0;417280;1649555622.9895163
163;128.0;419840;1649555623.9019227
164;128.0;422400;1649555624.8205867
165;128.0;424960;1649555625.7369847
166;128.0;427520;1649555626.6475167
167;128.0;430080;1649555627.5625176
168;128.0;432640;1649555628.4762754
169;128.0;435200;1649555629.4168432
170;128.0;437760;1649555630.331587
171;128.0;440320;1649555631.2515228
172;128.0;442880;1649555632.1646879
173;128.0;445440;1649555633.0760934
174;128.0;448000;1649555633.987384
175;128.0;450560;1649555634.899604
176;128.0;453120;1649555635.8169067
177;128.0;455680;1649555636.7334027
178;128.0;458240;1649555637.6511571
179;128.0;460800;1649555638.5679388
180;128.0;463360;1649555639.5002756
181;128.0;465920;1649555640.4195492
182;128.0;468480;1649555641.3411655
183;128.0;471040;1649555642.2559302
184;128.0;473600;1649555643.1646676
185;128.0;476160;1649555644.0778582
186;128.0;478720;1649555644.994051
187;128.0;481280;1649555645.91077
188;128.0;483840;1649555646.8268712
189;128.0;486400;1649555647.7432952
190;128.0;488960;1649555648.656915
191;128.0;491520;1649555649.5684886
192;128.0;494080;1649555650.5112026
193;128.0;496640;1649555651.4226563
194;128.0;499200;1649555652.3357644
195;128.0;501760;1649555653.247495
196;128.0;504320;1649555654.1577482
197;128.0;506880;1649555655.0746727
198;128.0;509440;1649555655.9951992
199;128.0;512000;1649555656.9087346
200;128.0;514560;1649555665.564167
201;128.0;517120;1649555666.6394143
202;128.0;519680;1649555667.6946585
203;128.0;522240;1649555668.7488635
204;128.0;524800;1649555669.7927988
205;128.0;527360;1649555670.8482018
206;128.0;529920;1649555671.9154592
207;128.0;532480;1649555672.968489
208;128.0;535040;1649555674.0234945
209;128.0;537600;1649555675.070939
210;128.0;540160;1649555676.1212397
